發票年月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013/5/1,A,臺北市,零售式量販店,30767,16264008,529
2013/5/1,A,臺北市,食品、飲料及菸草製品零售業,22090,3682018,167
2013/5/1,A,臺北市,餐飲業,16355,3880445,237
2013/5/1,B,臺中市,便利商店,20878,2089542,100
2013/5/1,B,臺中市,百貨公司,130859,216396456,1654
2013/5/1,B,臺中市,綜合商品零售業,48239,7346690,152
2013/5/1,B,臺中市,超級市場,293914,25736145,88
2013/5/1,B,臺中市,零售式量販店,53383,29509969,553
2013/5/1,B,臺中市,食品、飲料及菸草製品零售業,20734,4130709,199
2013/5/1,B,臺中市,餐飲業,12910,2410012,187
2013/5/1,C,基隆市,便利商店,32655,2600918,80
2013/5/1,C,基隆市,綜合商品零售業,29771,2722893,91
2013/5/1,C,基隆市,超級市場,14495,3255747,225
2013/5/1,C,基隆市,食品、飲料及菸草製品零售業,15511,2026142,131
2013/5/1,D,臺南市,便利商店,20649,2235723,108
2013/5/1,D,臺南市,百貨公司,112993,150841374,1335
2013/5/1,D,臺南市,綜合商品零售業,60639,8847005,146
2013/5/1,D,臺南市,超級市場,601860,48302594,80
2013/5/1,D,臺南市,零售式量販店,23707,13151325,555
2013/5/1,D,臺南市,食品、飲料及菸草製品零售業,17703,3858352,218
2013/5/1,D,臺南市,餐飲業,11613,1744972,150
2013/5/1,E,高雄市,便利商店,21269,2119882,100
2013/5/1,E,高雄市,百貨公司,55387,57907389,1046
2013/5/1,E,高雄市,綜合商品零售業,21648,4020989,186
2013/5/1,E,高雄市,超級市場,19187,4475818,233
2013/5/1,E,高雄市,零售式量販店,15859,11179356,705
2013/5/1,E,高雄市,食品、飲料及菸草製品零售業,735695,58168101,79
2013/5/1,E,高雄市,餐飲業,9889,1472981,149
2013/5/1,F,新北市,便利商店,39703,3282976,83
2013/5/1,F,新北市,百貨公司,20471,4324086,211
2013/5/1,F,新北市,綜合商品零售業,35568,3548422,100
2013/5/1,F,新北市,超級市場,16464,4171296,253
2013/5/1,F,新北市,零售式量販店,19795,8604239,435
2013/5/1,F,新北市,食品、飲料及菸草製品零售業,16212,2602081,161
2013/5/1,F,新北市,餐飲業,11770,1812603,154
2013/5/1,G,宜蘭縣,便利商店,41790,3826613,92
2013/5/1,G,宜蘭縣,綜合商品零售業,38050,4093005,108
2013/5/1,G,宜蘭縣,超級市場,20151,5824301,289
2013/5/1,G,宜蘭縣,食品、飲料及菸草製品零售業,17063,4077649,239
2013/5/1,H,桃園市,便利商店,43693,3695391,85
2013/5/1,H,桃園市,百貨公司,28823,31697961,1100
2013/5/1,H,桃園市,綜合商品零售業,40210,5004519,124
2013/5/1,H,桃園市,超級市場,21236,7232280,341
2013/5/1,H,桃園市,零售式量販店,29236,16076917,550
2013/5/1,H,桃園市,食品、飲料及菸草製品零售業,16934,2967071,175
2013/5/1,H,桃園市,餐飲業,30816,22634482,735
2013/5/1,I,嘉義市,便利商店,20275,2040099,101
2013/5/1,I,嘉義市,綜合商品零售業,44089,6947299,158
2013/5/1,I,嘉義市,超級市場,178819,16471130,92
2013/5/1,J,新竹縣,便利商店,16668,1504772,90
2013/5/1,J,新竹縣,綜合商品零售業,16157,1880656,116
2013/5/1,J,新竹縣,超級市場,6720,1692472,252
2013/5/1,J,新竹縣,食品、飲料及菸草製品零售業,10290,4611253,448
2013/5/1,K,苗栗縣,便利商店,17634,1683871,95
2013/5/1,K,苗栗縣,綜合商品零售業,17992,2702453,150
2013/5/1,K,苗栗縣,超級市場,13569,3700496,273
2013/5/1,K,苗栗縣,食品、飲料及菸草製品零售業,19377,3750262,194
2013/5/1,M,南投縣,便利商店,38587,3905623,101
2013/5/1,M,南投縣,綜合商品零售業,37193,4389188,118
2013/5/1,N,彰化縣,便利商店,19221,2218223,115
2013/5/1,N,彰化縣,綜合商品零售業,42497,4796390,113
2013/5/1,N,彰化縣,超級市場,352181,33842022,96
2013/5/1,N,彰化縣,食品、飲料及菸草製品零售業,22042,4790115,217
2013/5/1,O,新竹市,便利商店,45000,3424283,76
2013/5/1,O,新竹市,百貨公司,48807,80864823,1657
2013/5/1,O,新竹市,綜合商品零售業,43783,7621646,174
2013/5/1,O,新竹市,超級市場,12058,1968544,163
2013/5/1,O,新竹市,食品、飲料及菸草製品零售業,12680,2995618,236
2013/5/1,P,雲林縣,便利商店,44154,4246880,96
2013/5/1,P,雲林縣,綜合商品零售業,41012,4798299,117
2013/5/1,P,雲林縣,超級市場,33724,11717710,347
2013/5/1,P,雲林縣,食品、飲料及菸草製品零售業,14735,4832775,328
2013/5/1,Q,嘉義縣,便利商店,45872,4051554,88
2013/5/1,Q,嘉義縣,綜合商品零售業,44422,4658998,105
