發票年,發票月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2014,11,H,桃園市,便利商店,21316,1907757,90
2014,11,I,嘉義市,便利商店,20973,1880821,90
2014,11,J,新竹縣,便利商店,19859,1820252,92
2014,11,K,苗栗縣,便利商店,19791,1881113,95
2014,11,M,南投縣,便利商店,19564,2074764,106
2014,11,N,彰化縣,便利商店,20348,2147960,106
2014,11,O,新竹市,便利商店,20839,1698285,81
2014,11,P,雲林縣,便利商店,19019,1929716,101
2014,11,Q,嘉義縣,便利商店,19893,1911121,96
2014,11,T,屏東縣,便利商店,21791,2205160,101
2014,11,U,花蓮縣,便利商店,22030,2159238,98
2014,11,V,臺東縣,便利商店,21026,2139374,102
2014,11,W,金門縣,便利商店,23941,2746039,115
2014,11,X,澎湖縣,便利商店,18652,2656903,142
2014,11,Z,連江縣,便利商店,23094,3064184,133
2014,12,A,臺北市,便利商店,25673,2197696,86
2014,12,B,臺中市,便利商店,22217,2192698,99
2014,12,C,基隆市,便利商店,18613,1649333,89
2014,12,D,臺南市,便利商店,22832,2197283,96
2014,12,E,高雄市,便利商店,22648,2155949,95
2014,12,F,新北市,便利商店,20357,1883033,93
2014,12,G,宜蘭縣,便利商店,19373,1926967,99
2014,12,H,桃園市,便利商店,20511,1887989,92
2014,12,I,嘉義市,便利商店,20417,1889389,93
2014,12,J,新竹縣,便利商店,19197,1821360,95
2014,12,K,苗栗縣,便利商店,18787,1863010,99
2014,12,M,南投縣,便利商店,18495,2062719,112
2014,12,N,彰化縣,便利商店,19502,2173034,111
2014,12,O,新竹市,便利商店,20277,1708059,84
2014,12,P,雲林縣,便利商店,18326,1955118,107
2014,12,Q,嘉義縣,便利商店,18794,1887211,100
2014,12,T,屏東縣,便利商店,21032,2215939,105
2014,12,U,花蓮縣,便利商店,21615,2171397,100
2014,12,V,臺東縣,便利商店,20434,2151296,105
2014,12,W,金門縣,便利商店,22342,2660550,119
2014,12,X,澎湖縣,便利商店,17259,2660886,154
2014,12,Z,連江縣,便利商店,20795,2873213,138
2015,1,A,臺北市,便利商店,24727,2112982,85
2015,1,B,臺中市,便利商店,21876,2156706,99
2015,1,C,基隆市,便利商店,18383,1626228,88
2015,1,D,臺南市,便利商店,21914,2123959,97
2015,1,E,高雄市,便利商店,22132,2118077,96
2015,1,F,新北市,便利商店,20248,1859817,92
